toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
6280.01,370877263,FP,15.9865412,1.636,1451.0,9.927,199.531,6429.0,4.34,1.28
6286.01,354285962,FP,5.6289226,9.272,1850.0,12.4721,1111.47,6683.0,3.72,2.72
629.01,293853437,CP,8.7179665,6.143,2420.0,8.69437,333.379,9165.0,4.05,2.38
6298.01,285233023,FP,2.8577028,2.264,2695.0,12.4487,594.839,6240.0,4.2,1.45
631.01,97158538,FP,2.5950747,0.7921274,665.2502774,8.783341,233.697,6852.0,3.91,2.24201
632.01,349790953,FP,1.5521101,2.699,5430.0,10.3357,1278.41,4997.1,2.36,12.23
6324.01,372207328,CP,0.2792211,0.409,779.0,10.97,20.5488,3358.0,4.93,0.3
633.01,348755723,FP,4.503645,1.973292,12525.725237,13.9036,116.496,3267.0,4.438,1.0
634.01,344926234,FA,0.49359,1.545897,246.702105,9.1299,92.8368,5872.0,4.43995,1.02918
6343.01,256349966,FP,14.5877856,3.517,3374.0,12.0913,655.707,6544.0,4.13,1.66
635.01,286132427,FA,0.493379,1.5,194.341058,8.1075,58.7453,5914.0,4.46485,1.00635
6355.01,98613492,FP,1.0617107,1.067,2369.0,11.8275,317.292,5589.0,4.38,1.06
636.01,146463781,FP,0.417921,1.843947,41644.893112,14.7034,158.67,3278.0,4.97806,0.275
6368.01,274002141,FP,1.6197991,0.95,31095.0,14.5853,100.741,3192.0,4.92,0.31
6377.01,187532854,FP,1.6513066,0.82,1751.0,12.2059,536.017,5887.6,4.13,1.47
638.01,78154865,FA,0.493826,1.162615,310.570859,8.9225,96.6355,6030.0,4.41585,1.08524
6396.01,73244652,FP,8.2100724,1.37,4190.0,11.8431,720.484,6427.0,3.97,1.96
6398.01,353586703,FP,3.0043128,0.714,6000.0,12.1953,502.17,6405.0,4.41,1.17
640.01,147977348,CP,5.0037758,3.439,7390.0,10.0367,341.997,6442.0,3.91,2.09
643.01,432008938,FP,9.653456,4.00937,43088.5649,13.7006,87.7731,3359.0,4.93457,0.315
644.01,63303499,FP,1.9271328,4.5530077,585.8978628,10.194,203.532,5952.0,,1.25
6447.01,347442932,FP,0.6646521,1.272,7197.0,13.346,707.586,6256.0,4.55,0.97
645.01,157568289,FP,1.8361503,4.12,2470.0,10.4091,414.522,5710.5,3.6,2.43
646.01,238197709,FP,13.7252522,3.1694157,4945.7679342,10.3001,316.643,6104.0,3.96,1.86397
6486.01,46772529,FP,10.6332248,3.436,36558.0,12.8397,271.71,4678.0,4.5,0.81
650.01,349373192,FP,0.76983,2.774,160.192,9.7839,402.762,8658.0,3.92,
6508.01,142277868,CP,18.9926881,1.506,223710.0,14.3088,48.4666,3003.0,5.05,0.21
652.01,22221375,CP,3.9846589,2.146,445.0,7.3635,45.683,5903.0,4.44653,1.03
654.01,35009898,CP,1.5275639,1.3727055,2892.4227936,12.2255,57.7553,3433.0,4.89676,0.427953
6546.01,9385460,KP,3.3779614,4.2709189,7198.7471125,12.5329,773.974,6113.0,4.05769,1.6616499
655.01,35516889,KP,0.7888389,1.6416539,22614.8958863,11.6044,268.325,5568.0,4.39267,1.0280499
6551.01,166527623,KP,6.9593972,4.8553269,4826.8656037,9.1871,127.28,5854.0,4.438,1.33729
656.01,36734222,KP,0.8134733,1.262964,25866.83474,11.1184,86.7467,4400.0,4.64555,0.757649
657.01,48103627,CP,4.5696698,3.9536171,9861.079392,12.4399,562.256,6122.0,4.283,1.28306
658.01,48476907,FP,4.7192734,1.301,1557.0,9.5359,212.005,6521.0,4.22041,1.6
