kepid,kepler_name,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_fwm_stat_sig,koi_eccen,koi_srho,koi_sma,koi_max_sngle_ev,koi_model_chisq
11391957,Kepler-668 b,8.35389523,0.023,2.2514,1041.6,0.029305,2.52,36.34974,43.4,127,0.645,0,6.73215,0.0768,5.6967807,
11403044,Kepler-669 b,4.125543472,0.597,3.1744,1487.3,0.036796,4.43,94.70979,128.6,323,0.431,0,0.67162,0.0529,9.387555,
11414511,Kepler-670 b,2.816504904,0.105,2.50587,16813.7,0.117059,12.21,1328.3038,1406.8,474,0.0,0,2.09079,0.0383,104.64681,
11442465,,33.93373447,0.812,14.561,8503.7,0.095386,7.34,193.4089,236.1,31,0.0,0,0.0371,0.1881,52.86124,
12110942,Kepler-680 b,3.689920099,0.151,2.6557,426.7,0.018878,1.89,31.786789,35.6,360,0.255,0,1.70798,0.0469,4.8750124,
12366084,Kepler-232 b,4.431238488,0.405,3.15,1010.9,0.02933,3.25,58.259056,71.1,302,0.016,0,1.01996,0.0529,6.815371,
12366084,Kepler-232 c,11.37936986,0.911,2.6255,1023.5,0.035628,3.95,29.930164,37.9,109,0.372,0,0.63438,0.0993,5.2506146,
12404086,Kepler-681 b,26.39432897,0.602,3.573,1510.9,0.03681,3.07,41.269753,48.2,51,0.592,0,2.93923,0.1635,8.917681,
8395660,Kepler-106 c,13.57078281,0.866,3.3539,511.7,0.023908,2.64,76.76887,88.4,101,0.044,0,0.49865,0.1096,18.771214,
9579641,Kepler-105 c,7.12594387,0.898,3.0014,192.4,0.01512,1.79,39.793564,47.1,181,0.009,0,0.23879,0.0711,6.1814723,
11656840,,7.442652004,0.137,2.3078,24446.2,0.143936,15.03,1044.7283,835.6,180,0.0,0,7.48712,0.0742,115.64278,
11754553,Kepler-52 c,16.38489988,0.001,3.0249,1127.1,0.029758,2,28.122635,28.9,65,0.204,0,5.4538,0.1084,6.419572,
11754553,Kepler-52 b,7.8774163,0.041,2.0805,1306.1,0.03209,2.16,41.450657,38.7,135,0.588,0,8.09685,0.0665,10.036489,
11754553,Kepler-52 d,36.4454001,0.028,4.007,1122.3,0.029681,1.99,19.803268,21.7,27,0.01,0,5.21237,0.1847,5.9903665,
11812062,Kepler-673 b,3.728732147,0.558,2.683,5226.5,0.068178,6.02,360.1958,345.2,357,0.0,0,1.24118,0.0455,28.264866,
11818800,,40.4195037,0.911,3.362,6256,0.088069,7.51,94.071846,36.9,36,0.027,0,1.89549,0.2062,22.598503,
11853255,Kepler-674 b,2.243380573,0.915,1.1196,821.7,0.032248,1.99,30.578562,38.9,472,0.0,0,1.50915,0.028,4.251499,
11909839,,10.405998015,0.324,6.5036,14488.8,0.111248,11.23,691.1691,745.2,117,0.553,0,0.38489,0.0855,97.352005,
11918099,Kepler-675 b,2.337437946,0.28,1.9982,971.2,0.027998,2.34,63.58795,82.4,578,0.0,0,2.41093,0.0325,6.0310416,
11918099,,7.2406612,1.198,0.558,556.4,0.232818,19.45,9.1666,13.7,168,0.058,0,8.66412,0.0692,3.2751372,
9579641,,3.43591631,0.624,3.133,23.2,0.004612,0.55,7.4337807,8.7,357,0.858,0,0.47024,0.0437,3.8943021,
11923270,Kepler-676 b,11.59822233,0.679,2.5237,2804.5,0.051287,2.65,62.376225,71.0,115,0.178,0,3.14915,0.0798,11.461336,
11960862,Kepler-677 b,6.575315881,0.39,4.3084,2793.3,0.049152,5.31,210.22159,221.1,205,0.013,0,0.64392,0.067,20.537346,
12020329,Kepler-678 b,7.275040844,0.547,7.5377,3001,0.051358,4.86,234.95987,312.1,188,0.0,0,0.10578,0.0732,24.639503,
12066335,Kepler-231 c,19.27153892,0.031,2.7594,1219.8,0.031585,1.93,28.490973,37.1,67,0.0,0,8.48241,0.1171,6.437265,
12066335,Kepler-231 b,10.06524317,0.628,1.369,1053.3,0.031153,1.91,21.658537,30.3,126,0.0,0,18.09666,0.076,5.446764,
12070811,Kepler-679 b,12.3935651,0.883,3.8896,916.6,0.032536,2.66,31.608551,35.8,107,0.758,0,0.27483,0.0983,5.6057496,
8395660,Kepler-106 e,43.84439721,0.852,6.802,615.2,0.025934,2.87,65.59482,83.7,29,0.012,0,0.22039,0.2395,16.554466,
3120431,,3.341913228,1.213,3.813,725.3,0.243351,21.55,32.72262,39.0,780,0.0,0,0.01791,0.0415,5.0937037,
3246984,,1.626630225,1.26,2.1145,1620.6,0.305244,32.43,45.885685,103.6,664,0.0,0,0.09631,0.026,5.3061833,
3342970,Kepler-234 b,2.711504086,0.023,3.0099,837.5,0.026533,3.12,48.726124,64.5,494,0.0,0,0.91618,0.0401,6.3430967,
3342970,Kepler-234 c,7.21203748,0.012,4.0491,950.4,0.028255,3.32,40.04205,51.5,165,0.0,0,0.99867,0.077,6.1683164,
12459725,,14.1798187,0.1601,2.505,459.9,0.019561,1.88,,11.2,,,0,7.76746,0.1137,,
12470844,Kepler-233 b,8.47237911,0.022,2.7245,1123.5,0.030119,2.59,39.867977,47.6,159,0.046,0,3.86328,0.0778,5.7419868,
12470844,Kepler-233 c,60.4189369,0.094,5.039,931.3,0.027422,2.36,15.139797,20.1,22,0.424,0,4.26444,0.2884,6.335456,
12644822,Kepler-682 b,12.611904345,0.55,5.1497,6105.6,0.073758,7.4,207.6196,277.2,104,0.0,0,0.61222,0.1058,31.536423,
2440757,,1.433769925,1.268,1.8868,1976.3,0.318591,46.58,67.78838,112.6,481,0.021,0,0.1372,0.0256,10.709492,
2445129,,10.31872301,1.215,3.836,871.7,0.247006,28.59,34.775192,38.2,130,0.0,0,0.03681,0.0944,9.854863,
2713049,Kepler-683 b,2.539183147,0.238,2.4282,382.1,0.017724,2.06,34.037075,38.9,528,0.085,0,1.46261,0.0355,4.680462,
3114167,Kepler-684 b,6.770300385,0.838,2.0844,1304,0.037414,2.77,43.840405,50.8,200,0.005,0,1.45164,0.064,6.5691905,
3114661,,0.444291966,1.258,2.0792,10967.4,0.396105,27.51,277.1132,299.7,1466,0.0,0,0.42351,0.0101,40.64358,
3115833,,10.181584004,0.92,3.5089,5741.1,0.084708,7.73,173.09894,183.6,129,0.021,0,0.38059,0.0884,27.099031,
4139816,Kepler-235 d,20.06036336,0.556,3.3203,1494.7,0.036455,1.96,27.241827,35.2,59,0.016,0,3.09445,0.115,7.1802754,
4139816,Kepler-235 e,46.1842039,0.013,4.758,1394.7,0.033974,1.83,18.020908,26.0,25,0.006,0,3.99779,0.2005,6.2605453,
8395660,Kepler-106 d,23.9800854,0.95,5.351,104,0.011879,1.31,10.87813,17.1,56,0.096,0,0.05654,0.1602,4.1784496,
4139816,Kepler-235 c,7.82502168,0.708,2.186,520.8,0.022312,1.2,12.582854,15.9,154,0.048,0,2.54508,0.0614,3.8379083,
4275191,Kepler-688 b,3.895936525,0.524,2.3111,8544.8,0.08689,7.34,375.5263,370.8,275,0.0,0,2.31292,0.046,35.58241,
4476123,Kepler-689 b,22.36646466,0.4,5.228,986.8,0.028938,2.32,25.599396,32.1,48,0.799,0,1.12517,0.1449,6.2514634,
3351888,Kepler-685 b,1.625522174,0.076,2.38963,7969,0.080543,9.73,712.5235,799.7,657,0.0,0,1.28198,0.0265,43.135384,
3453214,,19.620346923,0.458,2.0038,21724.6,0.137595,13.6,353.8584,340.5,52,0.0,0,23.21659,0.1389,73.60154,
3554600,,7.544039,1.175,6.222,322.6,0.194187,17.47,12.162734,14.2,143,,0,0.00393,0.0731,4.5001316,
3641726,Kepler-1727 b,9.02930689,0.024,3.1449,1019.8,0.028718,2.57,47.37303,53.9,146,0.097,0,2.66613,0.0796,7.610865,
3734868,,10.328035714,0.281,7.7915,16917.7,0.118805,13.28,589.42316,636.8,114,0.0,0,0.23528,0.0888,76.945915,
3832474,Kepler-30 d,143.2063047,0.379,8.9302,10565.7,0.094044,8.9,115.57215,138.8,9,0.081,0,1.83449,0.5336,45.13809,
8395660,Kepler-106 b,6.164876,0.646,3.262,55.8,0.007192,0.79,11.552998,14.4,207,0.567,0,0.69664,0.0648,2.6950479,
3832474,Kepler-30 c,60.32494216,0.224,6.6188,20280.4,0.128744,12.19,323.38303,347.2,22,0.051,0,2.37656,0.2998,88.82677,
3832474,Kepler-30 b,29.1598615,0.3619,4.803,488,0.02018,1.91,,11.6,,,0,1.92739,0.1847,,
3836375,,1.540397253,1.225,2.1541,816.1,0.257087,25.69,32.004185,38.8,842,0.0,0,0.06102,0.0264,7.5703845,
3838486,,2.99025443,0.014,5.414,589.2,0.021279,1.7,35.481506,48.5,454,0.0,0,0.17407,0.0367,4.439786,
3935914,Kepler-686 b,1.594745374,0.514,1.9604,15044.5,0.115879,11.3,1015.921,1009.3,762,0.0,0,1.77544,0.0258,62.03516,
3940418,Kepler-1728 b,4.783002698,0.003,2.335,1008.7,0.028315,2.5,57.638233,70.6,281,0.282,0,3.45234,0.0535,7.252221,
4049131,Kepler-687 b,20.50588921,0.26,4.0595,2105.5,0.041039,3.41,70.729904,78.5,69,0.722,0,2.64998,0.1326,12.827003,
4139816,Kepler-235 b,3.340218842,0.466,1.9104,1632.6,0.037683,2.03,58.181076,71.6,398,0.058,0,3.23586,0.0348,8.777286,
5287983,,2.507089906,1.255,2.0067,1339.2,0.295115,30.26,50.679256,64.9,408,0.0,0,0.11003,0.0365,7.337525,
5358241,Kepler-53 b,18.64932728,0.08,4.4056,893.6,0.027096,3.12,36.000114,46.1,71,0.0,0,1.97596,0.139,7.871079,
10875245,Kepler-107 c,4.90144976,0.529,4.1654,140.7,0.011136,1.7,33.185894,50.6,193,0.054,0,0.3709,0.0586,5.743281,
5358241,Kepler-53 d,9.75192101,0.949,4.793,418,0.024042,2.76,24.258644,28.5,132,0.482,0,0.044,0.0902,4.4869766,
5358241,Kepler-53 c,38.5576546,0.911,5.794,993,0.03498,4.02,32.640865,39.7,37,0.0,0,0.19756,0.2255,7.5526104,
5358624,Kepler-428 b,3.525632539,0.12,2.59959,22335,0.13372,11.58,2078.4102,1996.7,382,0.0,0,2.43681,0.0431,162.61552,
4544670,,34.84398644,0.934,2.9315,4523.6,0.080046,7.61,75.6448,76.8,40,0.13,0,1.86832,0.1971,15.928789,
4664847,Kepler-690 b,7.748094239,0.517,3.5957,2472.1,0.046615,5.52,106.29421,113.2,133,0.097,0,1.06292,0.081,13.618479,
4725681,Kepler-236 c,23.96793669,0.416,3.827,1182.3,0.03141,1.8,22.27284,27.5,43,0.01,0,3.03325,0.1322,5.809559,
4725681,Kepler-236 b,8.29561738,0.888,1.3421,824.3,0.03178,1.82,15.260293,17.9,119,0.029,0,4.18931,0.0652,3.484774,
4913852,Kepler-691 b,8.11437482,0.573,2.2736,1558,0.037204,2.1,45.585175,56.4,167,0.024,0,3.76716,0.0649,6.7459397,
4932348,,38.036729482,0.501,4.34617,82871.6,0.27018,27.5,1785.2972,1300.0,26,0.0,0,6.21385,0.2252,456.11786,
4936180,,4.64090031,1.28,35.512,2450.6,0.333559,30.09,135.01852,296.9,227,0.029,0,0.00218,0.0503,14.098484,
